expt,regime,duration_days,se,n,mortality_pct,P,max_se_P,max_bias_P
1,15-25,20.08,0.14,79,42.33,92.90,18.52,1.96
2,25-15,19.41,0.11,110,17.29,92.45,10.00,0.10
3,15-27.5,14.49,0.14,78,27.10,74.80,2.69,0.36
4,27.5-15,13.27,0.14,50,29.57,73.64,2.52,0.28
5,15-30,14.68,0.13,80,37.00,85.30,2.75,0.42
6,30-15,13.30,0.18,30,53.12,82.64,2.96,0.49
7,22.5-20,17.79,0.51,53,7.01,88.76,3.71,0.08
8,20-25,13.11,0.11,106,4.50,73.23,1.93,0.08
9,25-20,20.36,0.13,72,4.00,114.37,53.67,37.53
10,20-27.5,14.51,0.16,50,3.84,88.53,2.89,0.32
11,27.5-20,11.31,0.07,74,8.64,72.26,2.04,0.22
12,30-20,13.85,0.10,110,12.00,97.03,3.00,0.10
13,22.5-25,9.70,0.03,69,4.16,59.70,2.01,0.14
14,22.5-27.5,10.85,0.08,92,8.00,72.69,2.29,0.10
15,27.5-22.5,10.56,0.04,201,9.04,73.26,2.16,0.07
16,30-22.5,9.64,0.04,94,15.31,73.46,1.85,0.11
17,25-27.5,10.20,0.06,74,6.32,75.57,2.53,0.12
18,27.5-25,13.26,0.10,90,8.16,99.33,3.37,0.10
19,25-30,10.85,0.17,55,29.48,87.25,3.27,0.23
20,30-25,10.68,0.06,88,41.33,87.28,2.24,0.09
21,27.5-30,10.29,0.07,45,38.35,89.30,2.44,0.16
22,30-27.5,11.28,0.08,45,48.27,98.70,2.34,0.10
