temp_eggval,egg_larval_male_h,egg_larval_female_h,temp_pupal,pupal_male_h,pupal_female_h
15.24,395.8,400.4,15.24,320.5,309.5
16.06,329.6,343.3,16.17,266.7,259.0
18.05,241.9,259.8,18.05,204.4,197.0
18.21,242.8,259.3,18.21,199.2,192.2
19.32,208.2,222.8,19.32,170.6,164.7
19.97,188.3,203.0,19.97,160.1,152.2
22.00,141.8,150.1,22.00,126.5,121.4
22.21,146.2,153.3,22.21,124.04,120.70
22.99,130.6,139.9,22.99,115.62,113.08
24.17,118.5,120.7,24.17,102.4,98.65
25.14,113.7,114.2,25.14,96.51,93.55
25.99,105.5,105.8,25.99,92.24,90.20
26.89,100.0,99.8,26.89,87.23,82.56
28.07,103.0,102.9,28.07,83.2,78.6
28.99,98.3,98.3,28.99,80.9,76.2
29.47,99.1,98.3,29.47,80.6,75.8
29.98,105.1,105.1,29.98,81.3,77.1
31.04,121.5,118.5,31.04,82.7,79.3
